PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,player_name,role_expected,minutes_projection
2544,2003-04,0,1610612739,CLE,19.0,79,79,3120,622,1492,0.417,63,217,0.29,347,460,0.754,99,333,432,465,130,58,273,149,1654,LeBron James,point_forward_facilitator,28
2544,2004-05,0,1610612739,CLE,20.0,80,80,3388,795,1684,0.472,108,308,0.351,477,636,0.75,111,477,588,577,177,52,262,146,2175,LeBron James,point_forward_facilitator,28
2544,2005-06,0,1610612739,CLE,21.0,79,79,3361,875,1823,0.48,127,379,0.335,601,814,0.738,75,481,556,521,123,66,260,181,2478,LeBron James,point_forward_facilitator,28
2544,2006-07,0,1610612739,CLE,22.0,78,78,3190,772,1621,0.476,99,310,0.319,489,701,0.698,83,443,526,470,125,55,250,171,2132,LeBron James,point_forward_facilitator,28
2544,2007-08,0,1610612739,CLE,23.0,75,74,3027,794,1642,0.484,113,359,0.315,549,771,0.712,133,459,592,539,138,81,255,165,2250,LeBron James,point_forward_facilitator,28
2544,2008-09,0,1610612739,CLE,24.0,81,81,3054,789,1613,0.489,132,384,0.344,594,762,0.78,106,507,613,587,137,93,241,139,2304,LeBron James,point_forward_facilitator,28
2544,2009-10,0,1610612739,CLE,25.0,76,76,2966,768,1528,0.503,129,387,0.333,593,773,0.767,71,483,554,651,125,77,261,119,2258,LeBron James,point_forward_facilitator,28
2544,2010-11,0,1610612748,MIA,26.0,79,79,3063,758,1485,0.51,92,279,0.33,503,663,0.759,80,510,590,554,124,50,284,163,2111,LeBron James,point_forward_facilitator,28
2544,2011-12,0,1610612748,MIA,27.0,62,62,2326,621,1169,0.531,54,149,0.362,387,502,0.771,94,398,492,387,115,50,213,96,1683,LeBron James,point_forward_facilitator,28
2544,2012-13,0,1610612748,MIA,28.0,76,76,2877,765,1354,0.565,103,254,0.406,403,535,0.753,97,513,610,551,129,67,226,110,2036,LeBron James,point_forward_facilitator,28
2544,2013-14,0,1610612748,MIA,29.0,77,77,2902,767,1353,0.567,116,306,0.379,439,585,0.75,81,452,533,488,121,26,270,126,2089,LeBron James,point_forward_facilitator,28
