player_id,player_name,seasons_used,current_age,historical_load_score,recency_score,age_score,risk_score
203954,Joel Embiid,3,32.0,0.6097560975609756,0.6010452961672473,0.85,0.6547560975609756
1629731,Dean Wade,3,29.0,0.3008130081300813,0.289198606271777,0.5499999999999999,0.3465853658536585
203484,Kentavious Caldwell-Pope,3,33.0,0.17073170731707318,0.24390243902439027,0.85,0.3321951219512196
2544,LeBron James,3,41.0,0.1829268292682927,0.21428571428571427,0.85,0.3273170731707318
1631230,Dominick Barlow,3,23.0,0.43495934959349597,0.3257839721254356,0.05,0.3197560975609756
1629014,Anfernee Simons,3,27.0,0.3048780487804878,0.2926829268292683,0.35,0.3096341463414634
1642348,Justin Edwards,2,22.0,0.3414634146341463,0.30081300813008127,0.05,0.2689430894308943
1627759,Jaylen Brown,3,29.0,0.17073170731707318,0.1637630662020906,0.5499999999999999,0.24414634146341463
1630178,Tyrese Maxey,3,25.0,0.21951219512195122,0.20905923344947736,0.15,0.2019512195121951
1631133,Jabari Walker,3,23.0,0.2032520325203252,0.21951219512195122,0.05,0.17829268292682926
1641737,Adem Bona,2,23.0,0.2134146341463415,0.1869918699186992,0.05,0.1714837398373984
1642845,VJ Edgecombe,1,20.0,0.08536585365853655,0.08536585365853655,0.05,0.07829268292682925
1642889,Labaron Philon,0,,0.0,0.0,0.0,0.0
